Date,Open,Close,OC Return,OC Return Sq,RV Daily,RQ Daily,FSI US,FSI Vol
2013-04-19,154.5,155.42,0.005937033443295968,3.524836610681478e-05,4.066275708319338e-05,2.520144241990754e-09,-1.085,-1.204
2013-04-22,155.78,156.19,0.0026284593778284934,6.90879870089455e-06,3.836541820043843e-05,2.050441200211309e-09,-1.115,-1.216
2013-04-23,156.94,157.82,0.005591576393561771,3.126572656503726e-05,0.00020057582573781708,2.1556267773944084e-07,-1.179,-1.309
2013-04-24,157.83,157.88,0.00031674638382065274,1.0032827166346026e-07,1.5677050317512996e-05,2.0633045500662397e-10,-1.191,-1.328
2013-04-25,158.33,158.54,0.0013254648956668492,1.7568571896451315e-06,1.9144511823215424e-05,3.4626568356152345e-10,-1.217,-1.364
2013-04-26,158.33,158.26,-0.0004422123322956522,1.955517468343603e-07,2.271239014046811e-05,5.683286477731471e-10,-1.207,-1.386
2013-04-29,158.67,159.32,0.004088184567445213,1.6713253057497206e-05,1.4148121580629386e-05,3.19486520232014e-10,-1.248,-1.403
2013-04-30,159.27,159.71,0.002758795404528191,7.610952084045865e-06,1.9806640550467245e-05,5.750154002300375e-10,-1.273,-1.437
2013-05-01,159.33,158.32,-0.00635922180810736,4.043970200470823e-05,2.7045607747182006e-05,5.69017850035854e-10,-1.227,-1.436
2013-05-02,158.68,159.72,0.006532686548891194,4.267599354606394e-05,1.666979728733231e-05,4.73482265544828e-10,-1.253,-1.467
2013-05-03,161.14,161.37,0.0014263126042111927,2.0343676449317145e-06,1.5570366679189712e-05,7.022549304493774e-10,-1.354,-1.508
2013-05-06,161.49,161.8,0.0019177833834156846,3.6778931057053106e-06,7.371481099672169e-06,5.903324095369623e-11,-1.328,-1.459
2013-05-07,162.12,162.59,0.0028948928473558075,8.380404597671814e-06,1.6332205965318008e-05,5.459760699783562e-10,-1.355,-1.462
2013-05-08,162.42,163.35,0.0057095651928143224,3.259913469099685e-05,9.012310674038825e-06,1.0126570440294226e-10,-1.403,-1.481
2013-05-09,163.27,162.89,-0.0023301457685595056,5.4295793027357686e-06,2.6786537724382532e-05,6.832172972601644e-10,-1.346,-1.433
2013-05-10,162.99,163.46,0.0028794628564422346,8.291306341630473e-06,2.744378401682781e-05,8.569777610400279e-10,-1.363,-1.35
2013-05-13,163.2,163.54,0.002081166203824671,4.331252767941991e-06,1.4759675043049676e-05,2.791672861586965e-10,-1.344,-1.346
2013-05-14,163.67,165.26,0.009667785755245843,9.346608140933444e-05,2.3056693421801252e-05,7.230113347962086e-10,-1.351,-1.347
2013-05-15,164.96,166.08,0.006766579708874121,4.578660095654698e-05,2.4564379340254e-05,4.4217404061641e-10,-1.338,-1.328
2013-05-16,165.77,165.32,-0.002718295793243077,7.3891320195630096e-06,3.2637535913865286e-05,1.5959449137733011e-09,-1.321,-1.347
2013-05-17,165.95,166.97,0.006127617394882148,3.754769493806228e-05,1.0391427025898033e-05,2.0834395182277152e-10,-1.339,-1.327
2013-05-20,166.78,166.94,0.0009588877637512383,9.194657434718506e-07,2.1808466436233308e-05,5.477038948068648e-10,-1.337,-1.316
2013-05-21,167.08,167.18,0.0005983366420354336,3.580067372022386e-07,2.271049461626395e-05,5.325245193547807e-10,-1.34,-1.295
2013-05-22,167.34,165.88,-0.008763035489272116,7.67907909862426e-05,0.0001236744077102199,2.6178917145834777e-08,-1.295,-1.223
2013-05-23,164.17,165.43,0.007645668312498002,5.8456243944736045e-05,6.204370087572836e-05,3.4998846116026316e-09,-1.252,-0.784
2013-05-24,164.46,165.33,0.00527609702050425,2.783719976977382e-05,3.0337934168154234e-05,8.59883163110636e-10,-1.245,-0.86
2013-05-28,167.04,166.3,-0.004439918495391791,1.9712876245722106e-05,3.3548410233907104e-05,1.0034185409621971e-09,-1.223,-0.857
2013-05-29,165.42,165.26,-0.0009677029907220998,9.364490782524964e-07,4.6824257962353096e-05,3.3011158583149926e-09,-1.138,-0.721
2013-05-30,165.35,165.83,0.002898727798205704,8.402622848090488e-06,3.555631935619267e-05,3.6224576965302586e-09,-1.158,-0.696
2013-05-31,165.37,163.44,-0.011739437152738473,0.0001378143846630964,7.321118400850646e-05,1.2393229017088727e-08,-1.051,-0.633
2013-06-03,163.83,164.37,0.003290679386261947,1.0828570823169303e-05,4.914581011711412e-05,2.0915492539851647e-09,-1.061,-0.574
2013-06-04,164.44,163.505,-0.005702191120204662,3.25149835713409e-05,7.729315978355305e-05,7.2417506315035445e-09,-1.061,-0.609
2013-06-05,163.09,161.27,-0.011222216676401987,0.00012593814713211484,6.708619707867994e-05,3.854446998733488e-09,-0.966,-0.504
2013-06-06,161.2,162.71,0.009323645078699875,8.69303575535644e-05,8.398024375478595e-05,6.24133770442047e-09,-1.017,-0.506
2013-06-07,163.85,164.81,0.005841920101265044,3.412803046956458e-05,3.95164505781212e-05,1.868478776033951e-09,-1.095,-0.556
2013-06-10,165.3,164.76,-0.003272135259098609,1.0706869153836322e-05,2.2412269323181647e-05,4.704900411161796e-10,-1.094,-0.548
2013-06-11,163.26,163.13,-0.0007965930749986134,6.345605271357466e-07,4.752653814782005e-05,2.0644445811582085e-09,-0.96,-0.412
2013-06-12,164.22,161.76,-0.015093237008481492,0.00022780580339419533,6.262106876201638e-05,2.844204953819453e-09,-0.892,-0.327
2013-06-13,161.65,164.21,0.015712592332303873,0.00024688555780117446,4.0382658065242876e-05,1.5256908323173176e-09,-0.948,-0.215
2013-06-14,164.05,163.19,-0.0052560932642674255,2.76265164026774e-05,4.5342535599061e-05,1.8533606396633334e-09,-0.967,-0.388
2013-06-17,164.29,164.46,0.0010342206245039993,1.0696123001494423e-06,4.545204466144187e-05,3.6944024766609774e-09,-1.024,-0.493
2013-06-18,164.52,165.74,0.0073881520586731725,5.458479084207664e-05,2.017247358305678e-05,4.0450422031397556e-10,-1.05,-0.463
2013-06-19,165.61,163.46,-0.013067314513415914,0.00017075470859253018,0.00010412602182372323,2.7750058397059577e-08,-0.994,-0.357
2013-06-20,161.86,159.39,-0.015377734936594441,0.00023647473178015725,0.00010164967876933601,9.432833302360418e-09,-0.659,0.142
2013-06-21,159.63,159.08,-0.003451416936897666,1.1912278872304066e-05,0.00010772912998283038,1.3635875406521987e-08,-0.664,0.106
2013-06-24,157.42,157.03,-0.002480522817441629,6.152993447848557e-06,0.00016484887338295688,2.5136039062294727e-08,-0.457,0.4
2013-06-25,158.48,158.59,0.0006938531202142048,4.814321524309877e-07,5.233350718163359e-05,2.132222094748386e-09,-0.608,0.213
2013-06-26,159.87,160.14,0.001687447667687068,2.8474796311825256e-06,2.048509432802733e-05,3.138561359241173e-10,-0.696,0.066
2013-06-27,161.1,161.13,0.00018620240254894847,3.4671334715000655e-08,2.5312314992195065e-05,7.509331187478911e-10,-0.776,-0.128
